;;;Interaction parameters;;;;;
Shot;General comments;Laser_Energy;Z - height (mm);X (mm);Y- Focus (mm);Beam_quality;Beam_Pointing;Charge(pC)
0;;0,0493005;-8,6;1,3;1,75;N;;0
1;;0,356879;-8,6;1,3;1,75;N;;0
2;mask_free, Pointing_IN;7,1769;-8,6;1,3;1,75;C;E3;185
3;;6,91211;-8,6;1,3;1,75;C;E3;115
4;;7,19477;-8,6;1,3;1,75;C;G3;120
5;filamented;7,02594;-8,6;1,3;1,85;F;G3;130
6;;7,28949;-8,6;1,3;1,85;C;G4;120
7;filamented;7,10383;-8,6;1,3;1,95;F;F2;225
8;;7,13811;-8,6;1,3;1,95;D;;160
9;;7,02516;-8,6;1,3;2,05;C;H3;190
10;;7,15587;-8,6;1,3;2,05;C;J4;250
11;;7,20182;-8,6;1,3;2,15;C;H3;160
12;;7,24792;-8,6;1,3;2,15;C;J4;165
13;;7,0631;-8,6;1,3;2,25;C;H2;145
14;;7,00255;-8,6;1,3;2,25;C;G3;155
15;;7,07178;-8,6;1,3;2,35;C;I4;105
16;;7,0739;-8,6;1,3;2,35;C;I3;55
17;;6,97031;-8,6;1,3;2,45;C;J4;95
18;filamented;7,07138;-8,6;1,3;2,45;F;K4;45
19;;6,97221;-8,6;1,3;2,55;C;J4;60
20;filamented;7,03333;-8,6;1,3;2,55;F;J3;45
21;no_electrons;7,10941;-8,6;1,3;2,65;N;;25
22;no_electrons;7,1664;-8,6;1,3;2,65;N;;45
23;;7,00687;-8,6;1,3;1,65;D;;95
24;;7,02864;-8,6;1,3;1,65;C;F3;145
25;;7,05123;-8,6;1,3;1,55;C;CENTER;100
26;;7,21714;-8,6;1,3;1,55;C;H4;160
27;;6,81497;-8,6;1,3;1,45;D;;260
28;no_electrons;6,96313;-8,6;1,3;1,45;N;;150
29;;7,22214;-8,6;1,3;2,05;C;H3;100
30;;7,14864;-8,6;1,3;2,05;C;G4;150
31;;7,01687;-8,6;1,3;2,05;C;H4;155
32;;7,05999;-8,6;1,3;2,05;C;F3;90
33;;7,10999;-8,6;1,3;2,05;C;G3;85
34;filamented;7,06893;-8,6;1,3;1,75;F;E1;45
35;;6,93863;-8,6;1,3;1,75;C;H4;85
36;;7,11227;-8,6;1,3;1,75;C;H4;100
37;;6,9175;-8,6;1,3;1,75;C;G4;110
38;filamented;7,06809;-8,6;1,3;1,75;F;F3;60
39;;7,14137;-8,8;1,3;2,05;C;G3;100
40;;6,92742;-8,8;1,3;2,05;C;G4;200
41;no_electrons;7,20507;-8,8;1,3;1,95;N;;80
42;;6,93509;-8,8;1,3;1,95;C;H4;250
43;no_electrons;7,09685;-8,8;1,3;1,85;N;;50
44;filamented;6,97821;-8,8;1,3;1,85;F;F2;70
45;;7,16547;-8,8;1,3;2,15;C;J4;90
46;no_electrons;7,02934;-8,8;1,3;2,15;N;;45
47;;7,097;-8,8;1,3;2,25;C;I3;120
48;;7,22888;-8,8;1,3;2,25;C;I4;90
49;filamented;7,19585;-8,6;1,3;2,05;F;H3;40
50;;7,00626;-8,6;1,3;2,05;C;H3;110
51;;7,11042;-8,6;1,3;2,05;C;G3;130
52;;6,92278;-8,6;1,3;2,05;C;G3;170
53;mask_square;7,14026;-8,6;1,3;2,05;C;J4;120
54;filamented;6,94197;-8,6;1,3;2,05;F;;50
55;;6,95298;-8,6;1,3;2,05;C;K4;215
56;;6,96814;-8,6;1,3;2,05;C;E1;135
57;;7,24345;-8,6;1,3;2,15;C;K3;200
58;;7,04627;-8,6;1,3;2,15;C;J4;260
59;;7,1862;-8,6;1,3;2,25;C;J4;230
60;;7,06864;-8,6;1,3;2,25;C;;120
61;;7,14184;-8,6;1,3;2,35;C;J4;120
62;;7,19846;-8,6;1,3;2,35;C;J4;190
63;;6,91109;-8,6;1,3;2,45;C;I3;180
64;;6,99152;-8,6;1,3;2,45;C;K3;60
65;filamented;7,08208;-8,6;1,3;2,55;F;J4;50
66;;7,10925;-8,6;1,3;2,55;C;K3;160
67;;7,02315;-8,6;1,3;2,65;C;K4;75
68;;7,03343;-8,6;1,3;2,65;C;J4;50
69;;6,94035;-8,6;1,3;2,05;C;G4;130
70;;7,10158;-8,6;1,3;2,05;C;I4;128
71;;7,1485;-8,6;1,3;2,05;CB;E1;120
72;;6,98918;-8,6;1,3;2,05;C;I4;100
