;;;Interaction parameters;;;;;;
Shot;General comments;Energy before compression (J) - calib k = 0,016231;Z - height (mm);X (mm);Y- Focus (mm);Beam_quality;Beam_Pointing;Charge(pC);
0;;0,33536;-8,6;1,3;2,05;N;;0;
1;;6,54674;-8,6;1,3;2,05;CB;F1;gui;
2;;0;-8,6;1,3;2,05;N;;gui;
3;;0;-8,6;1,3;2,05;N;;gui;
4;;;-8,6;1,3;2,05;C;F3;gui;
5;;6,76275;-8,6;1,3;2,05;C;G3;gui;
6;;6,86674;-8,6;1,3;2,15;N;;gui;
7;;;-8,6;1,3;2,15;N;;gui;
8;;6,97689;-8,6;1,3;1,95;CM;;gui;
9;mask_free;6,83634;-8,6;1,3;1,95;C;G3;130;
10;;7,08961;-8,6;1,3;1,95;C;H4;300;
11;;7,07463;-8,6;1,3;1,85;CM;;100;
12;;7,13029;-8,6;1,3;1,85;CB;H3;190;
13;;7,41444;-8,6;1,3;1,75;CM;;150;
14;;6,99847;-8,6;1,3;1,75;C;K3;150;
15;;7,08388;-8,6;1,3;1,65;C;H4;250;
16;filamented;7,29772;-8,6;1,3;1,65;F;;145;
17;;7,27014;-8,6;1,3;1,55;C;P2;155;
18;;7,22969;-8,6;1,3;1,55;D;;300;
19;no_electrons;7,27169;-8,6;1,3;1,45;N;;130;
20;;7,17351;-8,6;1,3;1,45;C;B1;285;
21;no_electrons;7,1093;-8,6;1,3;1,35;N;;240;
22;no_electrons;7,29286;-8,6;1,3;1,35;N;;200;
23;;7,18524;-8,6;1,3;2,25;C;G3;55;
24;no_electrons;7,04812;-8,6;1,3;2,25;N;;50;
25;no_electrons;7,31292;-8,6;1,3;2,35;N;;20;
26;no_electrons;7,20535;-8,6;1,3;2,35;N;;45;
27;no_electrons;7,00949;-8,6;1,3;1,95;N;;60;
28;;7,04868;-8,6;1,3;1,95;C;G4;65;
29;;6,99771;-8,6;1,3;1,95;C;A1;100;
30;;7,20252;-8,6;1,3;1,95;C;B0;95;
31;;7,32605;-8,6;1,3;1,95;C;G2;90;
32;;7,21211;-8,6;1,3;1,95;CM;I4;250;
33;;7,20071;-8,6;1,3;1,95;CB;A2;280;
34;;7,17743;-8,6;1,3;1,85;CB;A1;270;
35;;7,25837;-8,6;1,3;1,85;CB;B1;245;
36;;7,24643;-8,6;1,3;1,75;CM;A1;270;
37;;7,34163;-8,6;1,3;1,75;CM;J3;240;
38;;7,33224;-8,6;1,3;1,65;CM;;350;
39;;7,17228;-8,6;1,3;1,65;C;B1;240;
40;;7,16435;-8,6;1,3;1,55;D;;430;
41;;7,22693;-8,6;1,3;1,55;CM;;230;
42;;7,1013;-8,6;1,3;1,45;D;;305;
43;;7,31455;-8,6;1,3;1,45;D;;250;
44;;7,10158;-8,6;1,3;1,35;C;CENTER;290;
45;;7,17868;-8,6;1,3;1,35;D;;345;
46;;7,32588;-8,6;1,3;1,25;D;;340;
47;;7,27193;-8,6;1,3;1,25;D;;780;
48;;7,20851;-8,6;1,3;1,15;D;;300;
49;;7,14293;-8,6;1,3;1,15;C;K4;350;
50;;7,08971;-8,6;1,3;1,05;D;;410;
51;;7,13025;-8,6;1,3;1,05;D;;390;
52;;7,25989;-8,6;1,3;0,95;D;;470;
53;;7,11202;-8,6;1,3;0,95;D;;570;
54;;7,3372;-8,6;1,3;2,05;C;G2;230;
55;;7,07132;-8,6;1,3;2,05;CM;H4;220;
56;;;-8,6;1,3;2,15;CM;A2;145;
57;;7,10343;-8,6;1,3;2,15;CM;;100;
58;no_electrons;7,3506;-8,6;1,3;2,25;N;;90;
59;;7,10221;-8,6;1,3;2,25;CM;;95;
60;;7,16927;-8,6;1,3;2,25;C;H3;120;
61;;7,08544;-8,6;1,3;2,25;C;G2;50;
62;;7,13497;-8,6;1,3;2,15;CM;;220;
63;;7,13409;-8,6;1,3;2,15;C;G3;340;
64;;7,14153;-8,6;1,3;2,15;CM;A1;260;
65;;7,20942;-8,6;1,3;2,05;CM;G3;260;
66;;7,29509;-8,6;1,3;2,05;CM;A1;240;
67;;7,33352;-8,6;1,3;1,95;CM;B1;320;
68;;7,20025;-8,6;1,3;1,95;CM;H4;190;
69;;7,17924;-8,6;1,3;1,85;CM;A2;300;
70;;7,26286;-8,6;1,3;1,85;D;;270;
71;;7,17846;-8,6;1,3;1,75;D;;380;
72;;7,10651;-8,6;1,3;1,75;CB;B2;445;
73;;7,25442;-8,6;1,3;1,65;D;;475;
74;;7,12927;-8,6;1,3;1,65;D;;425;
75;;7,29547;-8,6;1,3;1,55;D;;410;
76;;7,21027;-8,6;1,3;1,55;D;;450;
77;;7,37428;-8,6;1,3;1,95;CM;B1;430;
78;;7,16013;-8,6;1,3;1,95;CB;B1;275;
79;;7,22476;-8,6;1,3;1,95;CM;F2;325;
80;;7,16072;-8,6;1,3;1,95;CM;;200;
81;;7,30376;-8,6;1,3;1,95;CM;K4;330;
82;;7,27298;-8,6;1,3;1,95;C;;100;NewConverge
83;;7,28319;-8,6;1,3;1,95;C;G4;125;
84;;7,22369;-8,6;1,3;1,95;C;A1;75;
85;no_electrons;7,2738;-8,6;1,3;1,95;N;;95;
86;;7,13611;-8,6;1,3;1,85;C;P0;135;
87;;7,12426;-8,6;1,3;1,85;C;J4;95;
88;;7,04444;-8,6;1,3;1,75;CM;I4;150;
89;;7,20176;-8,6;1,3;1,75;C;A1;120;
90;;7,20381;-8,6;1,3;1,65;C;A1;100;
91;;7,11271;-8,6;1,3;1,65;C;P1;75;
92;;7,19194;-8,6;1,3;1,55;CM;;150;
93;;7,17967;-8,6;1,3;1,55;C;A2;145;
94;;7,16116;-8,6;1,3;1,45;C;E2;155;
95;;7,23093;-8,6;1,3;1,45;C;F2;225;
96;;7,37213;-8,6;1,3;1,35;C;F2;200;
97;filamented;7,26676;-8,6;1,3;1,35;F;;80;
98;no_electrons;7,21258;-8,6;1,3;1,25;N;;200;
