Giorno,Shot,Beam_Type,N_Blobs,Compactness
20260415,11,Diffused,10,9.56E+15
20260415,12,Diffused,10,8.57E+15
20260415,13,Diffused,10,7.37E+15
20260415,14,Diffused,10,8.06E+15
20260415,15,Diffused,10,6.33E+15
20260415,16,Diffused,10,8.33E+15
20260415,17,Collimated,10,3.05E+15
20260415,18,Collimated,10,3.11E+16
20260415,19,Diffused,10,4.89E+16
20260415,20,Collimated,10,1.98E+16
20260415,21,Collimated,10,1.05E+15
20260415,22,Null,,
20260415,23,Null,,
20260415,24,Diffused,10,2.14E+16
20260415,25,Collimated,10,2.22E+16
20260415,26,Collimated,10,5.63E+15
20260415,27,Collimated,10,1.85E+16
20260415,28,Collimated,10,2.08E+15
20260415,29,Diffused,20,9.04E+15
20260415,30,Collimated,10,2.64E+16
20260415,31,Collimated,10,2.12E+16
20260415,32,Null,,
20260415,33,Collimated,10,2.02E+16
20260415,34,Diffused,10,1.05E+16
20260415,35,Collimated,10,1.46E+16
20260415,36,Collimated,10,2.57E+15
20260415,37,Collimated,10,1.95E+16
20260415,38,Collimated,10,2.17E+16
20260415,39,Diffused,10,2.80E+15
20260415,40,Null,0,0
20260415,41,Collimated,10,2.77E+15
20260415,42,Collimated,10,2.30E+16
20260415,43,Null,0,0
20260415,44,Null,0,0
20260415,45,Collimated,10,8.66E+14
20260415,46,Diffused,10,1.78E+16
20260415,47,Collimated,10,1.42E+15
20260415,48,Collimated,10,2.28E+16
20260415,49,Collimated,10,2.69E+15
20260415,50,Collimated,10,2.11E+16
20260415,51,Collimated,10,2.03E+16
20260415,52,Multiple,20,3.68E+16
20260415,53,Multiple,20,2.04E+16
20260415,54,Collimated,10,2.77E+16
20260415,55,Multiple,20,4.21E+16
20260415,56,Multiple,10,6.53E+15
20260415,57,Diffused,10,5.06E+14
20260415,58,Multiple,10,1.68E+16
20260415,59,Collimated,10,2.51E+16
20260415,60,Collimated,10,1.88E+16
20260415,61,Collimated,10,2.16E+15
20260415,62,Collimated,10,2.89E+16
20260415,63,Collimated,10,2.24E+16
20260415,64,Collimated,10,2.40E+16
20260415,65,Diffused,10,4.07E+16
20260415,66,Diffused,10,1.48E+16
20260415,67,Diffused,10,2.69E+15
20260415,68,Multiple,20,2.65E+16
20260415,69,Collimated,10,1.43E+16
20260416,5,Collimated,10,1.20E+15
20260416,6,Null,,
20260416,7,Diffused,10,3.13E+16
20260416,8,Collimated,10,2.15E+16
20260416,9,Multiple,10,1.97E+16
20260416,10,Multiple,20,2.63E+16
20260416,11,Multiple,20,2.77E+16
